Exam_index_glob,SS_index_glob,r_KOP_glob,T_KOP_glob,m_KOP_glob,t0_KOP_glob,r2_KOP_glob,Chirp_SS_f3,Chirp_SS_f4,Chirp_SS_c3,Chirp_SS_c4,Chirp_SS_p3,Chirp_SS_p4,Chirp_SS_o1,Chirp_SS_o2,Chirp_SS_glob,Freq_SS_f3,Freq_SS_f4,Freq_SS_c3,Freq_SS_c4,Freq_SS_p3,Freq_SS_p4,Freq_SS_o1,Freq_SS_o2,Freq_SS_glob,Time_Prop_f3f4,Time_Prop_f3c3,Time_Prop_f3c4,Time_Prop_f3p3,Time_Prop_f3p4,Time_Prop_f3o1,Time_Prop_f3o2,Time_Prop_f4c3,Time_Prop_f4c4,Time_Prop_f4p3,Time_Prop_f4p4,Time_Prop_f4o1,Time_Prop_f4o2,Time_Prop_c3c4,Time_Prop_c3p3,Time_Prop_c3p4,Time_Prop_c3o1,Time_Prop_c3o2,Time_Prop_c4p3,Time_Prop_c4p4,Time_Prop_c4o1,Time_Prop_c4o2,Time_Prop_p3p4,Time_Prop_p3o1,Time_Prop_p3o2,Time_Prop_p4o1,Time_Prop_p4o2,Time_Prop_o1o2,Veloc_Prop_glob,Timeloc_Prop_glob,Envmax_Prop_f3,Envmax_Prop_f4,Envmax_Prop_c3,Envmax_Prop_c4,Envmax_Prop_p3,Envmax_Prop_p4,Envmax_Prop_o1,Envmax_Prop_o2,Durac_Prop_f3,Durac_Prop_f4,Durac_Prop_c3,Durac_Prop_c4,Durac_Prop_p3,Durac_Prop_p4,Durac_Prop_o1,Durac_Prop_o2,Durac_Prop_glob,Idurac_Prop_f3,Idurac_Prop_f4,Idurac_Prop_c3,Idurac_Prop_c4,Idurac_Prop_p3,Idurac_Prop_p4,Idurac_Prop_o1,Idurac_Prop_o2,Idurac_Prop_glob,Timemax_Prop_f3,Timemax_Prop_f4,Timemax_Prop_c3,Timemax_Prop_c4,Timemax_Prop_p3,Timemax_Prop_p4,Timemax_Prop_o1,Timemax_Prop_o2,Deltafrac_Freq_f3,Deltafrac_Freq_f4,Deltafrac_Freq_c3,Deltafrac_Freq_c4,Deltafrac_Freq_p3,Deltafrac_Freq_p4,Deltafrac_Freq_o1,Deltafrac_Freq_o2
80610,57,1.0116108,0.55921248,0.89075572,0.73279318,0.87996921,0.7584,-0.28105,1.2499,0.4779,1.1641,0.73399,0.62248,0.46129,0.64837625,13.5,14,13.5,13.5,13.5,13.5,13.5,13.5,13.5625,-0.128125,0.160938,0.133594,0.246875,0.198437,0.341406,0.334375,0.167969,0.132031,0.266406,0.2,0.335156,0.328125,-0.153125,0.233594,0.192969,0.330469,0.325781,0.224219,0.178906,0.305469,0.301563,0.170313,0.3125,0.310156,0.275,0.269531,0.141406,0.603225,1519.8906,5.4640272,4.6119001,8.7418386,7.7958122,6.610907,8.4434086,4.9116042,5.23024,0.21896857,0.19446108,0.21770434,0.19007142,0.22937119,0.20596403,0.22177127,0.21432128,0.21157915,0.6171875,0.46484375,0.671875,0.59375,0.77734375,0.6015625,0.69140625,0.6796875,0.63720703,1519.9961,1519.9922,1519.9961,1519.9218,1520,1519.9218,1519.6953,1519.7734,0.35556349,0.30367431,0.30682701,0.32756837,0.20065415,0.2708075,0.18596843,0.15296975
80610,69,1.0271225,0.16317551,0.72754955,0.69185821,0.7932881,0.33657,-1.2768,-0.39898,-0.96982,-0.6484,-0.66623,-0.13896,0.22413,-0.44231125,13.5,12.5,13.5,13,13.5,13.5,14,13.5,13.375,0.433594,0.125781,0.139844,0.139063,0.149219,0.145313,0.15625,-0.335156,-0.313281,-0.314844,-0.305469,-0.314844,-0.3,0.0828125,0.0757812,0.0867187,0.0867187,0.096875,0.08125,0.0890625,0.0867187,0.0976562,0.0734375,0.0726563,0.0828125,-0.0648438,0.075,0.0695313,0.752056,1595.4219,5.2972958,3.3766325,8.4856669,8.6170687,7.6343606,9.6069427,4.654562,5.2172748,0.22299052,0.24382537,0.17486672,0.18940121,0.15598361,0.16871141,0.17893803,0.1782787,0.18912445,0.359375,0.8359375,0.40234375,0.4296875,0.390625,0.39453125,0.37109375,0.3828125,0.44580078,1595.5274,1595.5313,1595.4532,1595.4571,1595.4571,1595.4571,1595.4571,1595.4571,0.37770003,0.41719988,0.3152702,0.27658415,0.23301198,0.27691623,0.27093184,0.26212294
80610,73,0.96133523,0.044679326,0.53459613,0.40742531,0.97695546,-0.784,-0.74612,-1.015,-1.0016,-0.70093,-0.37015,0.41813,0.089566,-0.513763,12.5,12,12.5,12,13,14,14,14,13,0.577344,0.696094,0.651563,0.6625,0.660937,0.553125,0.585938,-0.58125,-0.078125,-0.629687,0.223438,-0.226562,-0.15625,0.615625,-0.0570312,0.634375,0.542188,0.566406,-0.627344,-0.0390625,-0.159375,-0.127344,0.642188,-0.138281,0.577344,-0.727344,-0.125,0.0640625,0.759111,1643.2656,8.3954753,9.5420492,8.2908959,11.460125,6.2202468,10.446438,3.8969905,4.5829168,0.31317133,0.26010019,0.3072484,0.24796113,0.30592068,0.26865686,0.30301863,0.30464773,0.28884062,0.3203125,0.65625,0.2890625,0.3359375,0.30859375,0.34765625,0.38671875,0.41015625,0.38183594,1643.0097,1642.9746,1643.0058,1643.0137,1643.0097,1643.0137,1643.084,1643.084,0.36758995,0.3657432,0.33295669,0.36161358,0.25709786,0.29768949,0.22866056,0.23722515
80610,135,0.99848833,0.17432154,1.5221192,0.17940186,0.86634426,-1.1653,-0.55517,-0.74405,-0.50331,-0.65995,-0.4292,-0.54872,-0.4888,-0.6368125,13,14,13.5,13.5,13.5,13.5,13.5,13.5,13.5,0.178125,-0.146094,0.133594,-0.171094,-0.165625,-0.192188,-0.203906,-0.245312,-0.19375,-0.2625,-0.269531,-0.271875,-0.296094,0.170313,-0.148438,-0.142187,-0.167187,-0.1875,-0.204687,-0.197656,-0.223438,-0.242188,0.146094,-0.127344,-0.150781,-0.172656,-0.188281,-0.107031,0.548805,2195.6797,10.736028,7.3040622,18.120289,14.049299,13.468463,14.391699,7.1504427,7.1693574,0.30139699,0.31437843,0.30194299,0.30364067,0.31041021,0.29743876,0.31807506,0.30346452,0.30634345,0.703125,0.55078125,0.62109375,0.6171875,0.6171875,0.6640625,0.5234375,0.65234375,0.61865234,2195.3633,2195.3594,2195.4336,2195.4336,2195.4375,2195.5078,2195.4375,2195.5117,0.2341226,0.29832672,0.23171687,0.23449292,0.16637732,0.19237581,0.17272398,0.17541467
80610,149,0.9389698,0.13486531,1.1787668,0.32113743,0.91825665,-0.03102,-0.37312,0.51598,0.57649,0.33129,0.44102,-0.091618,0.037621,0.17583037,12,12.5,13,13,13,13,13,13,12.8125,-0.183594,-0.101562,-0.148438,-0.121094,-0.186719,-0.186719,-0.209375,0.173437,-0.0875,0.164844,-0.121094,0.140625,-0.138281,-0.121094,-0.101562,-0.163281,-0.171875,-0.182812,0.1125,-0.107813,-0.113281,-0.127344,-0.155469,-0.159375,-0.172656,0.135937,-0.103906,-0.147656,0.302579,2255.3516,7.7848445,4.9967277,11.629725,10.837364,9.6592319,11.28332,5.9484041,6.529903,0.21226778,0.20456859,0.1940141,0.18446229,0.20787288,0.19265202,0.22654624,0.21502187,0.20467572,0.421875,0.49609375,0.42578125,0.41796875,0.43359375,0.453125,0.54296875,0.484375,0.45947266,2255.3633,2255.4532,2255.4375,2255.4453,2255.4375,2255.4414,2255.4375,2255.4414,0.607355,0.66983936,0.61062796,0.56560894,0.48147442,0.51271489,0.31518305,0.29508562
80610,164,0.93739023,0.030741852,1.2621407,0.44398059,0.8908062,-0.029624,0.21924,0.15831,0.64281,0.14817,0.54923,-0.049377,0.07273,0.21393613,13,12,13,13.5,13,13.5,13,13,13,0.191406,-0.130469,0.253906,0.185938,0.280469,0.160938,0.271875,-0.202344,0.192188,-0.210156,0.214062,-0.230469,0.222656,0.274219,0.15,0.3,0.160938,0.28125,-0.2875,0.200781,-0.304688,0.216406,0.319531,0.154688,0.296094,-0.340625,0.198437,0.375781,0.685091,2437.8906,4.2854922,6.5466051,5.0568852,7.2594965,3.9557492,6.9957596,2.9195329,3.2437761,0.23359318,0.21739813,0.24841942,0.23788296,0.25732243,0.2395071,0.2597094,0.24136133,0.24189924,0.78515625,0.64453125,0.8125,0.7109375,0.86328125,0.71484375,0.9453125,0.81640625,0.78662109,2437.7988,2437.8886,2437.7988,2437.8847,2437.7988,2437.8847,2438.1035,2437.8808,0.33582072,0.47163302,0.40479158,0.31884629,0.20759747,0.21896718,0.27937695,0.29291121
80610,187,0.97547723,0.11716878,1.4691895,0.21952968,0.80021941,-1.2138,-0.24046,-0.83886,-0.13699,-0.64758,-0.29455,-0.32055,-0.17129,-0.48301,12.5,12.5,12.5,13,12.5,13,13,13,12.75,0.503125,0.324219,0.378125,0.260937,0.310937,0.222656,0.232813,-0.110156,0.0765625,-0.5375,-0.104688,-0.2625,-0.217188,0.100781,-0.0929688,-0.09375,-0.178906,-0.161719,-0.114062,-0.0960938,-0.211719,-0.180469,0.1,-0.153125,-0.141406,-0.186719,-0.154688,0.146094,0.121685,2809.7188,5.0433682,5.2667871,9.4982838,10.764293,8.1505856,12.28888,5.5231105,7.0430905,0.52845956,0.52875065,0.45767946,0.46627691,0.45908486,0.45526253,0.47964921,0.46886985,0.48050413,1.234375,0.69140625,0.94921875,0.8515625,0.96484375,0.875,0.94140625,0.9296875,0.9296875,2809.4786,2809.4747,2809.4747,2809.4707,2809.4707,2809.4707,2809.6231,2809.6231,0.38922476,0.46419084,0.40985658,0.40935488,0.27946879,0.29967468,0.24020472,0.23890001
80610,215,1.0068357,0.17694737,1.3205049,0.41659297,0.78201132,-0.6096,0.1571,-0.6052,-0.015615,-0.54374,0.086013,-0.48288,-0.32136,-0.29191025,13.5,13.5,13.5,13.5,13.5,14,13.5,13.5,13.5625,-0.514062,0.132031,-0.432031,-0.31875,0.149219,-0.4,-0.402344,0.541406,0.539844,0.525,0.5375,0.545312,-0.434375,-0.178906,-0.152344,-0.176563,-0.175781,-0.40625,0.176563,0.183594,0.138281,-0.408594,-0.165625,-0.175781,-0.371094,-0.228906,-0.400781,0.114062,0.115032,3101.0781,6.0205849,2.1828711,9.1102659,4.4999503,8.0872852,4.0461567,2.9990302,2.1992309,0.42594638,0.47255404,0.37063448,0.39943242,0.35585322,0.39088442,0.35288776,0.42001614,0.39852611,0.83984375,0.421875,0.859375,0.93359375,0.828125,0.890625,0.87890625,0.46484375,0.76464844,3100.8633,3101.4453,3100.8594,3100.8633,3100.9336,3100.9336,3100.8633,3101.2929,0.28018275,0.31979799,0.30580727,0.27104558,0.18986901,0.26380076,0.16841929,0.14082055
80610,219,0.98939362,0.029791937,1.0838441,0.45418613,0.93456141,0.15947,-0.27675,0.24199,-0.40366,0.74419,-0.15889,1.0717,0.61263,0.248835,13,13,14,13.5,14,13.5,14,14.5,13.6875,-0.0617188,0.0929688,0.0773438,0.110156,0.06875,0.703125,0.11875,0.100781,0.0742188,0.124219,0.0703125,0.142969,0.126562,-0.104688,0.0976562,-0.1,0.117188,0.105469,0.125781,-0.0835937,0.15,0.128906,-0.121094,0.0984375,-0.110156,0.14375,0.125,-0.129688,1.18645,3128.8828,6.9075448,5.5560948,8.2758792,8.1467074,5.9047649,7.2983891,2.3749458,2.4496147,0.29078074,0.28476263,0.28290654,0.2844328,0.29101848,0.28596078,0.3007892,0.29013278,0.28884799,0.3984375,0.38671875,0.48046875,0.82421875,0.484375,0.421875,0.46875,0.8671875,0.54150391,3129.164,3129.1015,3129.1055,3129.164,3129.1055,3129.164,3129.1055,3129.1015,0.21109191,0.2942755,0.23550081,0.27048758,0.18055561,0.21906168,0.18135518,0.17679301
80610,253,0.96726689,0.079502492,1.4259588,0.56106498,0.89775271,-1.6685,-0.6302,-1.2637,-0.12786,-0.79392,0.0063757,0.52281,0.51693,-0.42975804,12.5,12.5,12.5,12.5,12.5,12.5,14.5,12.5,12.75,-0.503125,-0.0960938,-0.107031,-0.128906,-0.102344,-0.864062,-0.860156,0.472656,-0.06875,-0.114062,0.471094,-0.864062,-0.860156,-0.0867187,-0.109375,-0.0773438,-0.864062,-0.860156,-0.10625,-0.0601563,-0.864062,-0.14375,0.104688,-0.864062,-0.166406,-0.313281,-0.150781,0.253906,3.22059,3715.875,5.9273097,8.4108959,5.5475967,8.2585014,3.9824714,7.0327853,1.9033334,2.7477468,0.24271152,0.24807194,0.23539272,0.23742276,0.23116489,0.23291147,0.22202045,0.23615737,0.23573164,0.41796875,0.6875,0.48046875,0.58203125,0.44921875,0.375,0.5625,0.578125,0.51660156,3715.6543,3715.6543,3715.7207,3715.6543,3715.7207,3715.6543,3715.7168,3715.7168,0.25944141,0.26917516,0.25315687,0.31089043,0.24129065,0.28813899,0.24119589,0.21075361
